"Gene" "Ensembl" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"90" "CCDC22" "ENSG00000101997" 47.4047596687 -5.8989367683 1.2498655413 -4.7196570938 2.36e-06 0.0003640472
"91" "GATA4" "ENSG00000136574" 85.0491345411 -7.5086791215 1.5902381931 -4.7217323507 2.34e-06 0.0003640472
"92" "SERPINB9" "ENSG00000170542" 426.8174304695 -3.6263746667 0.7712384228 -4.7020150444 2.58e-06 0.0003926539
"93" "ACTG2" "ENSG00000163017" 28.1767895186 -7.3974418362 1.5785142742 -4.6863319242 2.78e-06 0.0004194008
"94" "GSTA3" "ENSG00000174156" 58.3250107703 -6.5730852474 1.4038870098 -4.6820614489 2.84e-06 0.0004236801
"96" "RASSF4" "ENSG00000107551" 29.0886784488 -7.3294393939 1.5711103106 -4.6651335329 3.08e-06 0.0004430958
"97" "APOA1" "ENSG00000118137" 2325.5722065677 5.1859465702 1.1123889765 4.6619902567 3.13e-06 0.0004430958
"98" "FAM173B" "ENSG00000150756" 16.5769524042 -6.8776753609 1.4746591897 -4.6639083856 3.1e-06 0.0004430958
"99" "FUT1" "ENSG00000174951" 86.1121670242 -5.5905162683 1.1996427935 -4.6601507538 3.16e-06 0.0004430958
"100" "PPP1R26" "ENSG00000196422" 17.0458160232 8.0035088393 1.7170961424 4.6610720515 3.15e-06 0.0004430958
"101" "ZNF823" "ENSG00000197933" 120.1885873546 -5.8231591066 1.2505635231 -4.6564280814 3.22e-06 0.0004467125
"102" "CDX1" "ENSG00000113722" 82.5220060344 -5.8852284566 1.265139459 -4.6518416721 3.29e-06 0.000452288
"103" "KIT" "ENSG00000157404" 20.9559530113 -7.1366074569 1.5390835674 -4.6369200528 3.54e-06 0.0004806918
"105" "FAM83H-AS1" "ENSG00000203499" 27.3910003656 -5.8745857111 1.2694767567 -4.6275646089 3.7e-06 0.0004941316
"107" "AP1S3" "ENSG00000152056" 13.1406244879 5.4928848358 1.193699559 4.6015639317 4.19e-06 0.000549558
"108" "IL2RG" "ENSG00000147168" 15.7910483747 7.6113180383 1.6552325563 4.5983375624 4.26e-06 0.0005529679
"109" "TRIM43" "ENSG00000144015" 40.1335047884 -7.4009090053 1.6191037949 -4.5709910807 4.85e-06 0.0006228477
"110" "DOCK5" "ENSG00000147459" 40.6512692232 -4.1960896225 0.9182551584 -4.5696335969 4.89e-06 0.0006228477
"111" "HACE1" "ENSG00000085382" 26.3999972072 -7.3265362321 1.6055635886 -4.5632177286 5.04e-06 0.0006364108
"112" "DISP2" "ENSG00000140323" 30.7986463794 3.7281734059 0.8176419441 4.559665062 5.12e-06 0.0006414931
"113" "SELENOP" "ENSG00000250722" 248.2329195384 4.9682019905 1.0903343271 4.5565858718 5.2e-06 0.0006452043
"114" "DACT1" "ENSG00000165617" 28.5773634236 -7.3011492454 1.6229606392 -4.4986607002 6.84e-06 0.0008411696
"115" "HAGH" "ENSG00000063854" 314.8019379516 -4.1554949292 0.92487411 -4.4930384411 7.02e-06 0.0008561847
"116" "C1orf115" "ENSG00000162817" 49.5374221919 -6.2931729648 1.4021179045 -4.4883336449 7.18e-06 0.0008677631
"117" "GABRD" "ENSG00000187730" 12.8645318297 4.1606147294 0.9273664932 4.4864837793 7.24e-06 0.0008678466
"118" "TMEM171" "ENSG00000157111" 29.0374709409 -6.9689253399 1.5564122996 -4.4775573553 7.55e-06 0.0008972575
"119" "EOGT" "ENSG00000163378" 28.8940975506 -6.3969622312 1.4307564981 -4.4710348963 7.78e-06 0.0009172927
"121" "GTF2H2" "ENSG00000145736" 117.8236851839 -3.1260910816 0.7002889103 -4.4640019794 8.04e-06 0.0009246309
"122" "DAB1" "ENSG00000173406" 43.8451776335 -7.4088209038 1.6593518451 -4.4648884598 8.01e-06 0.0009246309
"123" "RP11-440L14.1" "ENSG00000249592" 22.1194375534 -7.0400075496 1.5821888165 -4.4495369177 8.61e-06 0.0009811042
"125" "CYP11A1" "ENSG00000140459" 110.3759366094 -5.4672974012 1.2302360178 -4.4441044826 8.83e-06 0.0009901215
"126" "DPF3" "ENSG00000205683" 56.9432379602 -5.971316845 1.3453496847 -4.4384868209 9.06e-06 0.0010082485
"127" "LINC00678" "ENSG00000254934" 79.4083890143 -4.0711555789 0.9189352109 -4.4302966418 9.41e-06 0.0010390662
"128" "CHDH" "ENSG00000016391" 97.0550271375 -4.4406911867 1.0041742652 -4.4222316193 9.77e-06 0.0010702031
